topology,run,algo,phase,controller,lambda,mu_init,mu_final,scale_factor,rho_init,rho_final,W_init,W_final,stable,alpha,beta,link_sens,k_paths,load_sens,controller_sens
Geant2010,0,B1,SM,4,908.0,964.0,964.0,1.0,0.9419,0.9419,inf,17.8571,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,0,B1,SM,5,956.0,959.2,959.2,1.0,0.9967,0.9967,inf,312.5,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,0,B1,SM,6,948.0,959.2,959.2,1.0,0.9883,0.9883,inf,89.2857,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,0,B1,SM,7,957.0,959.2,959.2,1.0,0.9977,0.9977,inf,454.5455,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,0,B1,SM,8,865.0,959.2,959.2,1.0,0.9018,0.9018,inf,10.6157,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,0,B3,SM,1,990.0,959.2,959.2,1.0,1.0321,1.0321,0.2207,inf,0,0.5,0.5,0.05,5,0.0,0.0
Geant2010,0,B3,SM,2,1221.0,959.2,959.2,1.0,1.2729,1.2729,0.2172,inf,0,0.5,0.5,0.05,5,0.0,0.0
Geant2010,0,B3,SM,3,553.0,1046.4,1046.4,1.0,0.5285,0.5285,0.6756,2.0268,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,0,B3,SM,4,724.0,964.0,964.0,1.0,0.751,0.751,inf,4.1667,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,0,B3,SM,5,732.0,959.2,959.2,1.0,0.7631,0.7631,inf,4.4014,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,0,B3,SM,6,825.0,959.2,959.2,1.0,0.8601,0.8601,inf,7.4516,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,0,B3,SM,7,776.0,959.2,959.2,1.0,0.809,0.809,inf,5.4585,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,0,B3,SM,8,810.0,959.2,959.2,1.0,0.8445,0.8445,inf,6.7024,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,0,MCF_ARC,SM,1,736.0,959.2,959.2,1.0,0.7673,0.7673,0.331,4.4803,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,0,MCF_ARC,SM,2,628.0,959.2,959.2,1.0,0.6547,0.6547,0.4345,3.0193,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,0,MCF_ARC,SM,3,756.0,1046.4,1046.4,1.0,0.7225,0.7225,0.5067,3.4435,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,0,MCF_ARC,SM,4,914.0,964.0,964.0,1.0,0.9481,0.9481,inf,20.0,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,0,MCF_ARC,SM,5,909.0,959.2,959.2,1.0,0.9477,0.9477,inf,19.9203,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,0,MCF_ARC,SM,6,904.0,959.2,959.2,1.0,0.9425,0.9425,inf,18.1159,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,0,MCF_ARC,SM,7,909.0,959.2,959.2,1.0,0.9477,0.9477,inf,19.9203,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,0,MCF_ARC,SM,8,875.0,959.2,959.2,1.0,0.9122,0.9122,inf,11.8765,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,B1,SM,1,958.0,1018.4,1018.4,1.0,0.9407,0.9407,0.2363,16.5563,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,B1,SM,2,409.0,952.0,952.0,1.0,0.4296,0.4296,0.684,1.8416,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,B1,SM,3,512.0,952.0,952.0,1.0,0.5378,0.5378,0.7576,2.2727,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,B1,SM,4,918.0,1018.4,1018.4,1.0,0.9014,0.9014,inf,9.9602,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,B1,SM,5,952.0,954.4,954.4,1.0,0.9975,0.9975,inf,416.6667,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,B1,SM,6,948.0,952.0,952.0,1.0,0.9958,0.9958,inf,250.0,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,B1,SM,7,927.0,952.0,952.0,1.0,0.9737,0.9737,inf,40.0,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,B1,SM,8,958.0,968.8,968.8,1.0,0.9889,0.9889,inf,92.5926,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,B3,SM,1,1122.0,1018.4,1018.4,1.0,1.1017,1.1017,0.1969,inf,0,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,B3,SM,2,1020.0,952.0,952.0,1.0,1.0714,1.0714,0.228,inf,0,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,B3,SM,3,512.0,952.0,952.0,1.0,0.5378,0.5378,0.7576,2.2727,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,B3,SM,4,772.0,1018.4,1018.4,1.0,0.7581,0.7581,inf,4.0584,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,B3,SM,5,821.0,954.4,954.4,1.0,0.8602,0.8602,inf,7.4963,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,B3,SM,6,777.0,952.0,952.0,1.0,0.8162,0.8162,inf,5.7143,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,B3,SM,7,746.0,952.0,952.0,1.0,0.7836,0.7836,inf,4.8544,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,B3,SM,8,812.0,968.8,968.8,1.0,0.8382,0.8382,inf,6.3776,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,MCF_ARC,SM,1,915.0,1018.4,1018.4,1.0,0.8985,0.8985,0.2363,9.6712,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,MCF_ARC,SM,2,591.0,952.0,952.0,1.0,0.6208,0.6208,0.456,2.7701,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,MCF_ARC,SM,3,512.0,952.0,952.0,1.0,0.5378,0.5378,0.7576,2.2727,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,MCF_ARC,SM,4,946.0,1018.4,1018.4,1.0,0.9289,0.9289,inf,13.8122,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,MCF_ARC,SM,5,906.0,954.4,954.4,1.0,0.9493,0.9493,inf,20.6612,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,MCF_ARC,SM,6,903.0,952.0,952.0,1.0,0.9485,0.9485,inf,20.4082,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,MCF_ARC,SM,7,897.0,952.0,952.0,1.0,0.9422,0.9422,inf,18.1818,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,1,MCF_ARC,SM,8,912.0,968.8,968.8,1.0,0.9414,0.9414,inf,17.6056,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,2,B1,SM,1,911.0,1071.2,1071.2,1.0,0.8504,0.8504,0.2178,6.2422,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,2,B1,SM,2,596.0,980.0,980.0,1.0,0.6082,0.6082,0.4301,2.6042,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,2,B1,SM,3,378.0,978.4,978.4,1.0,0.3863,0.3863,0.8328,1.6656,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,2,B1,SM,4,994.0,1008.8,1008.8,1.0,0.9853,0.9853,inf,67.5676,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,2,B1,SM,5,978.0,980.0,980.0,1.0,0.998,0.998,inf,500.0,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,2,B1,SM,6,977.0,1008.8,1008.8,1.0,0.9685,0.9685,inf,31.4465,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,2,B1,SM,7,959.0,983.2,983.2,1.0,0.9754,0.9754,inf,41.3223,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,2,B1,SM,8,971.0,978.4,978.4,1.0,0.9924,0.9924,inf,135.1351,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,2,B3,SM,1,1070.0,1071.2,1071.2,1.0,0.9989,0.9989,0.1815,833.3333,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,2,B3,SM,2,1130.0,980.0,980.0,1.0,1.1531,1.1531,0.2151,inf,0,0.5,0.5,0.05,5,0.0,0.0
Geant2010,2,B3,SM,3,696.0,978.4,978.4,1.0,0.7114,0.7114,0.4164,3.5411,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,2,B3,SM,4,745.0,1008.8,1008.8,1.0,0.7385,0.7385,inf,3.7908,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,2,B3,SM,5,845.0,980.0,980.0,1.0,0.8622,0.8622,inf,7.4074,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,2,B3,SM,6,752.0,1008.8,1008.8,1.0,0.7454,0.7454,inf,3.8941,1,0.5,0.5,0.05,5,0.0,0.0
